X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.85877323,46.4512821,0,0,0,394,2010/01/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,
6.85884,46.45131,0,0,1,394,2010/01/01 00:00:01+00,,,,,,,,,,,,,,,,,,,,,
6.8581,46.45212,0,0,2,389,2010/01/01 00:00:25+00,,,,,,,,,,,,,,,,,,,,,
6.85709,46.45279,0,0,3,388,2010/01/01 00:00:49+00,,,,,,,,,,,,,,,,,,,,,
6.85646,46.45342,0,0,4,389,2010/01/01 00:01:08+00,,,,,,,,,,,,,,,,,,,,,
6.85578,46.45431,0,0,5,385,2010/01/01 00:01:33+00,,,,,,,,,,,,,,,,,,,,,
6.85576,46.45439,0,0,6,385,2010/01/01 00:01:35+00,,,,,,,,,,,,,,,,,,,,,
6.85395,46.45633,0,0,7,381,2010/01/01 00:02:32+00,,,,,,,,,,,,,,,,,,,,,
6.85324,46.457,0,0,8,378,2010/01/01 00:02:53+00,,,,,,,,,,,,,,,,,,,,,
6.85281,46.45747,0,0,9,378,2010/01/01 00:03:07+00,,,,,,,,,,,,,,,,,,,,,
6.85278,46.45752,0,0,10,378,2010/01/01 00:03:08+00,,,,,,,,,,,,,,,,,,,,,
6.85282,46.45761,0,0,11,378,2010/01/01 00:03:10+00,,,,,,,,,,,,,,,,,,,,,
6.85277,46.45771,0,0,12,378,2010/01/01 00:03:13+00,,,,,,,,,,,,,,,,,,,,,
6.85264,46.45773,0,0,13,378,2010/01/01 00:03:15+00,,,,,,,,,,,,,,,,,,,,,
6.8525,46.45767,0,0,14,378,2010/01/01 00:03:18+00,,,,,,,,,,,,,,,,,,,,,
6.85261,46.45726,0,0,15,378,2010/01/01 00:03:28+00,,,,,,,,,,,,,,,,,,,,,
6.85214,46.45719,0,0,16,378,2010/01/01 00:03:37+00,,,,,,,,,,,,,,,,,,,,,
6.85143,46.4573,0,0,17,378,2010/01/01 00:03:49+00,,,,,,,,,,,,,,,,,,,,,
6.85021,46.45753,0,0,18,379,2010/01/01 00:04:11+00,,,,,,,,,,,,,,,,,,,,,
6.84835,46.45782,0,0,19,375,2010/01/01 00:04:43+00,,,,,,,,,,,,,,,,,,,,,
6.84269,46.45861,0,0,20,373,2010/01/01 00:06:22+00,,,,,,,,,,,,,,,,,,,,,
6.84255,46.45874,0,0,21,373,2010/01/01 00:06:26+00,,,,,,,,,,,,,,,,,,,,,
6.84233,46.4594,0,0,22,378,2010/01/01 00:06:43+00,,,,,,,,,,,,,,,,,,,,,
6.84227,46.45944,0,0,23,378,2010/01/01 00:06:45+00,,,,,,,,,,,,,,,,,,,,,
6.84149,46.45962,0,0,24,380,2010/01/01 00:06:59+00,,,,,,,,,,,,,,,,,,,,,
6.84167,46.45998,0,0,25,380,2010/01/01 00:07:08+00,,,,,,,,,,,,,,,,,,,,,
6.84176,46.45995,0,0,26,380,2010/01/01 00:07:10+00,,,,,,,,,,,,,,,,,,,,,
6.84192,46.45998,0,0,27,380,2010/01/01 00:07:13+00,,,,,,,,,,,,,,,,,,,,,
6.84199,46.46006,0,0,28,380,2010/01/01 00:07:15+00,,,,,,,,,,,,,,,,,,,,,
6.84196,46.46016,0,0,29,380,2010/01/01 00:07:18+00,,,,,,,,,,,,,,,,,,,,,
6.84176,46.46022,0,0,30,380,2010/01/01 00:07:21+00,,,,,,,,,,,,,,,,,,,,,
6.84161,46.46013,0,0,31,380,2010/01/01 00:07:25+00,,,,,,,,,,,,,,,,,,,,,
6.84085,46.46042,0,0,32,383,2010/01/01 00:07:40+00,,,,,,,,,,,,,,,,,,,,,
6.84039,46.46064,0,0,33,380,2010/01/01 00:07:49+00,,,,,,,,,,,,,,,,,,,,,
6.83925,46.46122,0,0,34,380,2010/01/01 00:08:14+00,,,,,,,,,,,,,,,,,,,,,
6.83869,46.4616,0,0,35,378,2010/01/01 00:08:27+00,,,,,,,,,,,,,,,,,,,,,
6.83831,46.462,0,0,36,378,2010/01/01 00:08:39+00,,,,,,,,,,,,,,,,,,,,,
6.83793,46.46271,0,0,37,381,2010/01/01 00:08:58+00,,,,,,,,,,,,,,,,,,,,,
6.83748,46.46358,0,0,38,382,2010/01/01 00:09:21+00,,,,,,,,,,,,,,,,,,,,,
6.83731,46.46407,0,0,39,381,2010/01/01 00:09:33+00,,,,,,,,,,,,,,,,,,,,,
6.83675,46.46533,0,0,40,385,2010/01/01 00:10:06+00,,,,,,,,,,,,,,,,,,,,,
6.83596,46.46675,0,0,41,386,2010/01/01 00:10:44+00,,,,,,,,,,,,,,,,,,,,,
6.83594,46.46683,0,0,42,386,2010/01/01 00:10:46+00,,,,,,,,,,,,,,,,,,,,,
6.83601,46.46682,0,0,43,386,2010/01/01 00:10:47+00,,,,,,,,,,,,,,,,,,,,,
6.8361,46.46686,0,0,44,386,2010/01/01 00:10:49+00,,,,,,,,,,,,,,,,,,,,,
6.8361,46.46695,0,0,45,386,2010/01/01 00:10:51+00,,,,,,,,,,,,,,,,,,,,,
6.83603,46.46704,0,0,46,386,2010/01/01 00:10:54+00,,,,,,,,,,,,,,,,,,,,,
6.8359,46.46711,0,0,47,385,2010/01/01 00:10:57+00,,,,,,,,,,,,,,,,,,,,,
6.83572,46.46709,0,0,48,385,2010/01/01 00:11:00+00,,,,,,,,,,,,,,,,,,,,,
6.83567,46.46713,0,0,49,385,2010/01/01 00:11:01+00,,,,,,,,,,,,,,,,,,,,,
